Subject,Recording,Fs (Hz),Nyquist (Hz),Channels,Total ICs,Artifacts Removed,Brain,Muscle,Eye Blink,Heart Beat,Line Noise,Channel Noise,Other,Mean Confidence,Median Confidence,Runtime (s),Processing Device
sub-01,first available session/run (keys not recorded),250.0,125.0,22,15,2,12,0,1,0,1,0,1,0.8798,0.942,30.09,System default (no explicit GPU selection)
sub-02,first available session/run (keys not recorded),250.0,125.0,22,15,5,8,0,1,0,4,0,2,0.8415,0.8783,29.1,System default (no explicit GPU selection)
sub-03,first available session/run (keys not recorded),250.0,125.0,22,15,4,10,1,1,0,2,0,1,0.7722,0.7733,27.68,System default (no explicit GPU selection)
sub-04,first available session/run (keys not recorded),250.0,125.0,22,15,4,10,0,1,0,3,0,1,0.8977,0.933,30.29,System default (no explicit GPU selection)
sub-05,first available session/run (keys not recorded),250.0,125.0,22,15,6,8,1,1,0,4,0,1,0.7284,0.7961,31.91,System default (no explicit GPU selection)
sub-06,first available session/run (keys not recorded),250.0,125.0,22,15,0,13,0,0,0,0,0,2,0.8485,0.9674,34.05,System default (no explicit GPU selection)
sub-07,first available session/run (keys not recorded),250.0,125.0,22,15,5,9,0,2,0,3,0,1,0.8799,0.9122,29.61,System default (no explicit GPU selection)
sub-08,first available session/run (keys not recorded),250.0,125.0,22,15,2,11,0,1,0,1,0,2,0.9224,0.9448,30.89,System default (no explicit GPU selection)
sub-09,first available session/run (keys not recorded),250.0,125.0,22,15,6,7,0,1,0,5,0,2,0.8062,0.8477,28.28,System default (no explicit GPU selection)
