subject_id,component_index,probability
s01,0,0.520757257938385
s01,3,0.7560698390007019
s01,4,0.974395215511322
s01,5,0.7687369585037231
s01,6,0.9919925928115845
s01,7,0.9003423452377319
s01,9,0.9923138618469238
s02,2,0.8723998069763184
s02,3,0.9615429639816284
s02,4,0.881394624710083
s02,5,0.7271302342414856
s02,6,0.8810609579086304
s02,7,0.9923240542411804
s02,8,0.9951947927474976
s02,9,0.8132702708244324
s03,1,0.692746102809906
s03,5,0.9697201251983643
s03,6,0.6455186605453491
s03,7,0.6173715591430664
s03,8,0.9772840738296509
s03,9,0.9535424709320068
s04,2,0.9880266189575195
s04,3,0.9507056474685669
s04,4,0.9812705516815186
s04,5,0.9113253951072693
s04,6,0.7256572246551514
s04,7,0.9300389289855957
s04,8,0.9981894493103027
s04,9,0.9777747988700867
s05,2,0.6872444152832031
s05,3,0.4187672734260559
s05,4,0.5868535041809082
s05,5,0.46807846426963806
s05,6,0.6552661657333374
s05,8,0.9064058065414429
s06,2,0.8458284735679626
s06,3,0.7569479942321777
s06,5,0.9565544128417969
s06,6,0.6025291681289673
s06,9,0.8290631771087646
s07,0,0.9100157022476196
s07,2,0.9798375368118286
s07,4,0.8168736100196838
s07,5,0.9128627181053162
s07,6,0.8707082867622375
s07,7,0.6084719896316528
s07,8,0.7536289095878601
s08,2,0.9280635118484497
s08,3,0.9711959362030029
s08,4,0.7863266468048096
s08,5,0.9775939583778381
s08,6,0.7202423810958862
s08,7,0.9034534096717834
s08,8,0.9480366706848145
s08,9,0.7920897006988525
s09,2,0.8459928631782532
s09,3,0.801031231880188
s09,4,0.7380114197731018
s09,5,0.8719349503517151
s09,7,0.8092595338821411
s09,8,0.9805784225463867
s09,9,0.9520044922828674
s10,2,0.6992050409317017
s10,3,0.8553252220153809
s10,4,0.8350158929824829
s10,6,0.9419240355491638
s10,7,0.9731388092041016
s10,8,0.6299355030059814
s10,9,0.9847279191017151
s11,2,0.8498257398605347
s11,3,0.8269699215888977
s11,4,0.9555569291114807
s11,5,0.8178410530090332
s11,6,0.9154943227767944
s11,7,0.6741435527801514
s11,8,0.5936130285263062
s11,9,0.6206597089767456
s12,1,0.49578577280044556
s12,2,0.9563867449760437
s12,4,0.5881466865539551
s12,5,0.9895399212837219
s12,6,0.9632331132888794
s12,8,0.9256271123886108
s12,9,0.9628274440765381
s13,0,0.5319200158119202
s13,3,0.9790346026420593
s13,5,0.9896693825721741
s13,6,0.6166010499000549
s13,7,0.9539516568183899
s13,8,0.9904779195785522
s14,1,0.5095441937446594
s14,2,0.9397999048233032
s14,3,0.7800393104553223
s14,4,0.9916154742240906
s14,5,0.9119009375572205
s14,6,0.9932746887207031
s14,7,0.9347188472747803
s14,8,0.9407553672790527
s14,9,0.9220455288887024
s15,2,0.9571793675422668
s15,4,0.9920817613601685
s15,5,0.6066137552261353
s15,6,0.7182546257972717
s15,7,0.7000329494476318
s15,8,0.5710619688034058
s15,9,0.7969841361045837
s16,0,0.5993729829788208
s16,1,0.795268177986145
